[LOG] System::create                           : Header version = 1.10.00. Current version = 1.10.00.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : FMOD Studio Version: 00011000 (90329)
[LOG] SystemI::init                            : maxchannels = 256, flags = 00020000, extradriverdata = 0000000000000000
[LOG] SystemI::setOutputInternal               : Setting output to type 0
[LOG] SystemI::setOutputInternal               : Setting output to type 8
[LOG] SystemI::setOutputInternal               : Setting output to type 8
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=8, nSamplesPerSec=48000, nAvgBytesPerSec=1536000, nBlockAlign=32, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x0000063F, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[ERR] OutputWASAPI::init                       : IAudioClient::Initialize returned 0x88890008.
[LOG] SystemI::close                           : 
[LOG] SystemI::close                           : Stop all sounds
[LOG] SystemI::close                           : Free software output.
[LOG] SystemI::close                           : done.

[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] SoundI::release                          : DroneEsc_Music_p0_Menu_00-00-00 (0000000059847578)
[LOG] SoundI::release                          : remove stream samples. (0000000059847578)
[LOG] SoundI::release                          :     DroneEsc_Music_p0_Menu_00-00-00 (000000001C82CD38)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release subsounds. (0000000059847578)
[LOG] SoundI::release                          :     DroneEsc_Music_p0_Menu_00-00-00 (00000000598478D8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000059847578)
[LOG] SoundI::release                          : done
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] SystemI::close                           : 
[LOG] SystemI::close                           : Stop all sounds
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] SystemI::close                           : Stream thread destroyed
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Free master channel group.
[LOG] SystemI::close                           : Remove 'master' sound group.
[LOG] SystemI::close                           : Free software output.
[LOG] SystemI::close                           : Free emulated output.
[LOG] SystemI::close                           : Free channel pool.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
[LOG] SystemI::close                           : done.

